"","codprov","depto","coddepto","circuito","mesa","electores","blancos","nulos","0060","0064","0181","0185","0186","0188","0501","0505","0542","0543"
"228","23","Capital","001","0009 ","0228",342,2,5,1,17,26,8,8,1,63,17,21,105
"229","23","Capital","001","0009 ","0229",342,4,6,1,14,21,3,7,3,84,21,29,76
"230","23","Capital","001","0009 ","0230",342,3,8,2,15,31,1,7,2,98,16,7,85
"231","23","Capital","001","0009 ","0231",342,3,6,1,11,22,7,12,2,92,7,8,79
"232","23","Capital","001","0009 ","0232",342,4,2,1,10,30,4,8,3,97,15,15,85
"233","23","Capital","001","0009 ","0233",342,5,5,3,14,26,4,7,0,98,14,15,91
"234","23","Capital","001","0009 ","0234",339,2,2,0,12,33,4,14,0,85,28,13,72
"235","23","Capital","001","0009 ","0235",342,4,5,0,14,20,4,7,2,99,16,12,92
"236","23","Capital","001","0009 ","0236",342,3,5,1,16,30,4,17,1,82,13,14,85
"237","23","Capital","001","0009 ","0237",343,2,9,3,15,29,5,10,2,73,10,17,93
"238","23","Capital","001","0009 ","0238",342,3,5,1,19,24,3,12,3,85,12,17,88
"239","23","Capital","001","0009 ","0239",340,5,8,0,12,24,2,11,2,70,18,22,99
"240","23","Capital","001","0009 ","0240",342,0,3,3,10,31,5,8,0,81,16,35,83
"241","23","Capital","001","0009 ","0241",341,6,2,4,12,20,1,5,2,92,8,10,88
"242","23","Capital","001","0009 ","0242",343,4,1,0,14,22,1,14,0,81,17,16,91
"243","23","Capital","001","0009 ","0243",342,3,3,3,6,20,6,10,2,91,13,27,79
"244","23","Capital","001","0009 ","0244",341,0,6,5,6,20,2,8,1,103,16,14,87
"245","23","Capital","001","0009 ","0245",342,3,6,0,8,21,3,9,0,89,16,27,98
"246","23","Capital","001","0009 ","0246",343,1,2,5,11,28,2,8,2,105,12,14,86
"247","23","Capital","001","0009 ","0247",342,3,2,2,8,30,4,10,1,75,14,23,102
"248","23","Capital","001","0009 ","0248",342,0,2,4,13,21,2,11,6,83,18,22,92
"249","23","Capital","001","0009 ","0249",342,3,7,7,11,43,3,6,3,73,16,16,73
"250","23","Capital","001","0009 ","0250",342,1,6,1,9,30,0,8,3,90,18,18,102
"251","23","Capital","001","0009A","0251",343,4,8,4,21,25,9,9,1,86,14,17,71
"252","23","Capital","001","0009A","0252",345,3,0,4,12,28,0,5,1,95,0,12,82
"253","23","Capital","001","0009A","0253",342,2,4,0,14,31,2,7,0,95,15,15,86
"254","23","Capital","001","0009A","0254",343,2,9,4,6,17,2,8,4,87,21,18,85
"255","23","Capital","001","0009A","0255",342,5,6,0,9,27,6,9,1,88,11,9,102
"256","23","Capital","001","0009A","0256",344,2,8,1,12,36,3,5,0,93,11,17,69
"257","23","Capital","001","0009A","0257",342,2,7,2,15,32,4,6,0,90,15,14,75
"258","23","Capital","001","0009A","0258",342,7,11,2,8,30,3,4,1,90,8,11,90
"259","23","Capital","001","0009A","0259",343,4,8,0,7,30,2,3,1,83,8,14,89
"260","23","Capital","001","0009A","0260",342,3,6,4,7,27,4,2,0,84,21,12,100
"261","23","Capital","001","0009A","0261",342,7,3,1,8,19,0,5,0,78,21,19,100
"262","23","Capital","001","0009A","0262",342,0,4,1,11,19,2,3,1,98,18,17,91
"263","23","Capital","001","0009A","0263",343,3,2,2,7,24,1,6,1,96,18,18,73
"264","23","Capital","001","0009A","0264",341,3,5,0,15,26,1,2,3,97,12,7,103
"265","23","Capital","001","0009A","0265",343,5,8,5,17,30,3,2,2,99,20,16,63
"266","23","Capital","001","0009A","0266",342,4,5,1,15,22,3,5,2,88,18,14,98
"267","23","Capital","001","0009A","0267",343,5,2,2,11,26,8,9,2,93,14,14,91
"268","23","Capital","001","0009A","0268",343,5,5,0,9,33,6,7,4,66,12,11,102
"269","23","Capital","001","0009A","0269",344,4,6,1,11,17,1,7,3,92,16,13,113
"270","23","Capital","001","0009A","0270",343,6,6,6,17,29,3,8,1,75,11,14,93
"271","23","Capital","001","0009A","0271",342,6,4,1,8,36,6,6,2,99,12,12,82
"272","23","Capital","001","0009A","0272",343,3,4,3,8,26,3,7,2,74,15,14,117
"273","23","Capital","001","0009A","0273",343,6,4,1,12,31,2,8,3,88,12,11,99
"274","23","Capital","001","0009A","0274",343,1,3,2,14,24,2,12,3,95,11,12,83
"275","23","Capital","001","0009A","0275",342,8,6,2,6,23,2,4,2,78,11,19,95
"276","23","Capital","001","0009A","0276",342,6,4,3,15,32,2,4,0,94,18,11,92
"277","23","Capital","001","0009A","0277",343,3,9,0,19,24,2,4,4,80,16,10,105
"278","23","Capital","001","0009A","0278",341,0,7,6,7,28,1,2,2,92,12,16,91
"279","23","Capital","001","0009A","0279",341,3,5,0,5,34,3,6,0,99,14,21,69
"280","23","Capital","001","0009A","0280",342,10,9,3,11,26,4,2,1,95,13,15,78
"281","23","Capital","001","0009A","0281",342,2,5,5,8,26,4,9,0,102,17,9,88
"282","23","Capital","001","0010 ","0282",346,4,0,3,10,20,4,3,1,149,3,11,60
"283","23","Capital","001","0010 ","0283",347,6,4,1,6,33,5,4,2,128,9,11,67
"284","23","Capital","001","0010 ","0284",345,4,1,3,3,33,9,4,2,99,15,10,86
"285","23","Capital","001","0010 ","0285",346,7,9,1,9,22,7,3,1,112,9,14,73
"286","23","Capital","001","0010 ","0286",347,5,3,0,10,31,3,7,0,116,21,6,58
"287","23","Capital","001","0010 ","0287",345,3,4,1,16,32,4,6,2,116,12,8,63
"288","23","Capital","001","0010 ","0288",345,2,12,2,0,0,0,0,0,114,0,0,52
"289","23","Capital","001","0010 ","0289",347,0,5,1,10,35,6,6,1,129,19,10,56
"290","23","Capital","001","0010 ","0290",347,0,7,3,6,24,7,4,2,113,15,9,77
"291","23","Capital","001","0010 ","0291",346,6,2,3,8,32,2,2,2,93,23,24,56
"292","23","Capital","001","0010 ","0292",346,7,8,0,4,24,3,4,3,141,15,10,56
"293","23","Capital","001","0010 ","0293",347,2,2,1,15,36,4,12,2,96,17,13,74
"294","23","Capital","001","0010 ","0294",346,3,9,5,4,35,5,1,1,132,16,11,45
"295","23","Capital","001","0010 ","0295",346,0,4,2,6,24,3,7,2,128,14,11,69
